family,code_word,size,cond_strand,core_strand,cond_wire_dia,core_wire_dia,core_od,metal_od,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,st_weight,spec,values_from
ACSS,Dove,556.5,26,7,0.1463,0.1138,0.3414,0.927,25,0.1610,75,0.1933,524.2,241,ASTM B 856,Southwire
ACSS,Parakeet,556.5,24,7,0.1523,0.1015,0.3045,0.914,25,0.1618,75,0.1943,524.3,191.8,ASTM B 856,Southwire
ACSS,Sapsucker,556.5,22,7,0.159,0.0883,0.2649,0.901,25,0.1626,75,0.1952,523.9,145.1,ASTM B 856,Southwire
ACSS,Peacock,605,24,7,0.1588,0.1059,0.3177,0.953,25,0.1490,75,0.1789,570,208.7,ASTM B 856,Southwire
ACSS,Squab,605,26,7,0.1525,0.1186,0.3558,0.966,25,0.1483,75,0.1780,569.5,261.8,ASTM B 856,Southwire
ACSS,Teal,605,30,19,0.142,0.0852,0.426,0.994,25,0.1472,75,0.1767,571.2,367.5,ASTM B 856,Southwire
ACSS,Wood Duck,605,30,7,0.142,0.142,0.426,0.994,25,0.1471,75,0.1766,571.2,375.3,ASTM B 856,Southwire
ACSS,Egret,636,30,19,0.1456,0.0874,0.437,1.019,25,0.1402,75,0.1682,600.5,386.7,ASTM B 856,Southwire
ACSS,Goldfinch,636,22,7,0.170,0.0944,0.2832,0.963,25,0.1426,75,0.1711,598.9,165.9,ASTM B 856,Southwire
ACSS,Grosbeak,636,26,7,0.1564,0.1216,0.3648,0.991,25,0.1412,75,0.1694,599,275.2,ASTM B 856,Southwire
